Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,"$3,901.53","$5,994.53","$15,159.14","$18,333.95","$22,649.38","$19,698.49","$19,763.96","$21,656.94","$19,640.93","$19,813.87","$19,502.42",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,"$22,219.57","$23,718.75","$36,447.87","$41,814.82","$45,699.20","$41,732.71","$41,788.04","$45,936.08","$44,010.93","$45,600.77","$47,773.94",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,$768.80,$762.88,$974.56,"$1,060.81","$1,234.01","$1,279.25","$1,358.46","$1,472.01","$1,586.78","$1,683.43","$1,813.60",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,"$2,344.94","$4,819.90","$5,522.29","$5,953.55","$6,463.62","$6,891.46","$6,937.26","$7,023.35","$6,768.29","$7,036.55","$7,244.50",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,"$26,861.80","$30,743.56","$52,041.00","$58,501.14","$64,181.99","$57,895.50","$57,647.67","$61,304.06","$57,636.13","$59,818.63","$60,718.39",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,$984.69,"$2,802.42","$3,836.48","$4,637.24","$4,996.94","$4,933.94","$5,441.97","$5,820.40","$5,967.00","$5,968.67","$6,163.58",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,"$2,394.42","$1,757.01","$3,467.54","$3,939.56","$4,912.25","$3,875.82","$4,473.49","$5,447.40","$5,583.62","$5,491.61","$5,484.07",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,"$1,491.40","$1,451.29","$3,350.78","$3,590.71","$4,274.94","$4,255.56","$4,657.30","$5,223.38","$5,702.17","$6,051.61","$6,345.84",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,$764.76,"$1,461.02","$1,409.18","$1,681.31","$2,061.61","$2,349.29","$2,668.04","$2,816.67","$3,226.13","$3,264.45","$3,365.71",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,  ..  ,$199.81,$281.38,$299.11,$306.67,$404.20,$451.43,$544.46,  ..  ,  ..  ,  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,"$13,773.37","$14,787.76","$28,482.61","$32,709.40","$35,578.74","$32,333.47","$30,737.83","$31,832.24","$28,647.84","$29,370.66","$29,721.60",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,  ..  ,"$4,070.03","$12,595.41","$16,586.41","$18,094.55","$14,726.31","$14,641.40","$17,453.75","$17,490.99","$19,155.42","$20,147.78",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,$253.35,$124.05,$194.08,$243.63,$325.79,$380.26,$341.86,$355.59,$469.79,$503.90,$573.57,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,"$28,380.55","$24,253.25","$41,120.68","$48,288.55","$53,401.31","$47,107.16","$46,205.17","$50,787.56","$47,415.56","$49,492.83","$49,842.71",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,"$1,834.99","$2,076.01","$3,750.03","$4,079.23","$4,178.32","$3,369.86","$3,651.96","$4,351.92","$4,550.27","$4,765.66","$5,112.32",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,"$21,795.24","$22,465.64","$36,544.51","$41,600.58","$45,413.07","$41,631.13","$40,705.77","$43,807.48","$40,850.35","$42,627.65","$42,725.74",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,  ..  ,"$22,850.44","$40,617.30","$46,878.12","$49,625.48","$46,429.92","$47,381.52","$50,910.43","$48,695.17","$54,117.84",  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,"$1,528.06","$2,170.96","$2,393.94","$2,435.20","$2,501.53","$2,669.38","$2,838.45","$2,998.64","$3,147.68","$3,044.08","$3,057.09",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,"$6,250.64","$4,115.04","$7,206.97","$8,632.76","$10,523.27","$8,061.57","$9,312.05","$11,530.15","$10,642.43","$10,658.77","$10,772.06",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,"$19,095.47","$26,400.66","$42,534.31","$48,428.16","$45,195.16","$37,166.28","$38,292.87","$41,020.38","$41,294.51","$42,294.89","$46,296.98",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,"$1,614.64",$692.00,"$1,872.68","$2,492.13","$3,174.95","$2,706.60","$2,964.48","$3,725.06","$4,142.87","$4,274.38","$4,435.19",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,$402.59,$264.70,$929.73,"$1,099.02","$1,234.08","$1,095.50","$1,323.10","$1,587.19","$1,641.83","$1,827.10","$1,441.64",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,$441.93,$340.41,$296.17,$407.21,$433.07,$430.20,$430.06,$447.79,$487.35,$521.54,$539.62,  ..  
